station_id,metro_trips,Motivo no Destino e Zona de Origem -  residencia ,empregos,Viagens Diárias Atraídas por Motivo e Zona de Destino –Refeição,emprego Creditícios Financeiro,Funcionário Público,Viagens Diárias Atraídas por Motivo no Destino e Zona de Destino - residencia ,Viagens Diárias Atraídas por Motivo e Zona de Destino – Lazer,emprego servicos -  Administração Pública,Viagens Diárias Atraídas por Motivo e Zona de Destino –assuntos Pessoais,renda até 2.640
88,184272.5613892721,166217.0926333257,137467.6657369817,9426.990860344926,10299.51893270459,14978.445902855457,24732.177916563836,4937.298871871751,19030.214795053806,15027.543559669246,4670.356928593348
89,139719.5354038988,124436.96702155966,66761.01905862753,2630.767023134448,1812.56919833027,3649.3273414239206,34206.03530264105,5069.415244059071,2607.892612198252,5195.670274996381,3583.709132671781
90,25711.57984448814,26520.1056031744,17730.912359187336,553.6852901643474,1039.494194591537,56.02417763805844,22260.888757267097,2737.192165027125,1.423573272536408,4094.9737888170825,1225.1491750180971
91,9747.687633638307,13495.128882992913,8478.388016314193,22.110881334172813,0.0,23.570795846740236,25613.226790646113,915.6990921814797,0.0,1391.0092425853004,3631.948311551895
92,6129.17774035018,22445.760431481358,13248.328019764514,439.9865880677112,93.33444857410701,436.7689121480979,22195.790611033084,1839.2320326989793,271.60321159018065,2961.962778107238,4382.8000848872825
93,9696.325802976058,19123.37670977549,11806.96138678441,368.66893760638675,127.11744887491012,423.3508418372896,12492.972771782343,1553.3093440102346,166.19462142995434,1806.3858530041568,960.8299465551905
94,12153.839165233963,20060.847742382288,10913.196316196356,21.318460862539855,59.31112152336384,83.15835864611881,30808.856207876383,1496.2809202458245,8.917473096438458,1252.7097932699787,12134.502640335655
95,37347.383812790955,35234.54434974158,24054.016288114595,900.7173238760115,1326.6608642365763,132.07647523769154,30886.458512349833,4088.613613243969,129.23422250524138,6083.90872809345,1600.811262692087
96,177923.73057106964,155992.6817101107,124205.74373717005,10100.705571261144,8874.326543247853,20618.14273161194,37519.18159498169,6553.598252789788,25154.359016590548,18709.657974017555,8619.28901522406
98,7292.255637059033,13520.821334051227,11118.84064022047,562.3790010407168,28.54929789751861,93.90950498478551,14435.259681280582,1993.6210735730838,421.44802328046154,1113.8754284870915,2510.4944682190403
99,56311.828189574066,79146.29717003237,39655.09290769274,1615.7222662386112,1305.584269270167,546.1035469493476,23768.035347023797,4537.645517994208,182.2432004050349,7648.482020715012,1646.6826263805401
101,221224.97651937092,231396.3116926431,193212.1496559068,9640.570210243504,19337.386842619195,3945.4803409606893,45063.59749586099,16632.874292390446,2896.6857639644036,10312.708533037232,1015.7997593303253
103,142772.7249990599,126510.80427335305,75146.53597296416,2431.570685646824,2607.6338074385426,2689.7679840056467,31636.81397749183,7049.650141825097,1490.911864589864,4377.526876516049,1643.9927114608379
106,16114.690638886761,23066.532854044122,11487.061197531502,145.69548375047853,352.5418060233317,472.7724470701878,40367.62472498674,1734.3783768469866,115.56690224794151,2270.4212163921143,4488.444745227997
108,17952.632476415063,29365.808212638865,22034.38744061728,1117.3296781227666,178.02712930539937,172.73124659963932,23278.095917593964,4168.697927529099,132.79848677201684,3359.516093687914,137.27643289392606
109,59596.96088676402,60443.372484085114,35214.02190261439,1539.101658191185,830.8930242997219,510.1113889601423,27221.597160169636,4597.7928353961925,481.4087361567408,5787.557396712084,535.1116000352347
110,10042.115325716863,19120.093031525303,11864.949978189194,243.22081478038183,218.98684376675754,189.56822880499206,19374.80804289295,1620.1376491371282,218.44677036561782,2551.7898584454215,3455.330976734275
111,20347.003436528215,26047.63017650197,13703.382375150108,8.777924406608797,267.4759036743272,823.2970581209509,15241.181198981209,2072.5119486372514,388.6549775770715,1966.4383948067118,517.8925907377547
112,10272.502893320929,19040.366941662247,13231.11845285476,390.4709579397231,196.9455279451149,405.1699183471155,15688.227988897448,1383.370975177843,264.5167253419881,1577.2577395159624,1819.1676803329906
113,8561.797854385848,17867.148380220722,11928.32044573586,104.0426306295912,0.0,110.91225034696889,26761.16796038709,2178.2324788623755,21.806838829915748,2456.056769530016,7285.706604202498
114,12704.637731934294,26120.487664182918,12300.22862300685,219.35670651231993,832.4248332893105,203.87641677266154,22291.080267916343,2893.4985244806057,146.76088274213885,3329.0162865176494,1857.0270496411881
115,26880.45287403441,60848.29566457548,32136.82894396878,677.0130338798115,536.5815907997438,807.0307514387436,17088.817706630896,2311.5170401604933,1548.8384254587068,7679.265078134494,1330.4541608686422
116,10325.788414111907,25233.409335918182,14388.9068323069,259.22593953495664,399.47260052741433,400.08266457263613,22504.965913008375,4317.651715920547,614.2998567156388,1653.0703525570536,1553.7054861349538
117,27444.101606224107,49228.33344579298,27698.423955955186,495.6965410706139,158.4275501802356,802.3216393994882,8682.85974517075,2585.7798137202076,1529.88339050078,7979.076227666914,1901.6430946373052
122,5621.1097827753065,8879.41054071676,3624.0357428768375,0.0,0.0,304.45508723120247,12448.373630249756,736.0733810337823,57.401197155220586,1181.888359159574,4963.173332551572
123,2324.746497730187,4899.036504942591,2281.4987492621817,82.9663589392312,0.0,130.12770120936528,7008.481323787271,447.438378318399,12.3178791612939,184.95428860029406,2378.856292564417
124,1956.8644144324908,4210.701063148912,1958.6108495519861,69.9760575395879,0.0,119.21119188248878,5886.622941129808,393.65831833849177,12.442583388355992,159.83177150937945,2033.0343856425925
125,1143.5972037836113,3060.970636449925,1793.8792571356062,29.594813017306322,12.211967650990694,33.476765935947576,3059.0916230186795,131.67601927556686,82.68478922117863,1.2556264597593125,177.1869654461346
126,3446.4033540132814,5376.403283590382,2663.1851901684317,0.0,0.0,243.6925098535739,6918.919247441683,106.66853807149494,48.27465175299898,228.82575536136716,2300.613281161368
127,5511.877302665754,11716.289296034027,5576.983365455884,0.0,0.0,285.99678275978266,17805.495187209333,1070.9601813910954,119.4317923632345,1082.501000742219,4114.339505557101
128,6225.732931129534,12590.032598826212,5598.93079411749,0.0,0.15003911317506902,311.3820386978718,19615.261550950345,762.0128852599187,94.07522112640929,977.4995820797528,4101.860898805694
129,6257.107908259435,11443.875710433127,8089.485555446033,0.0,112.90443266423942,233.38789405559487,18648.06362219905,943.8119108518422,89.29077024683095,2056.7990257219694,3341.8462583761884
130,11067.054476128218,15607.993501101499,10678.980726295258,143.67289331501584,143.57737000825796,156.8473610911398,23498.632252898336,1066.0720519558593,163.64713586289176,2150.874828791414,3094.7138970993133
